shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__5____1__IT_1,40.4068357793054,-3.71088790566908,20000006,1146.24890883151
4__5____1__IT_1,40.4067957017934,-3.71085637338147,20000007,1146.2826051057
4__5____1__IT_1,40.406748649833,-3.71081628122852,20000008,1146.3225345555
4__5____1__IT_1,40.4067026926606,-3.71077395792514,20000009,1146.36870274283
4__5____1__IT_1,40.4066654419653,-3.71073703431509,20000010,1146.42005883533
4__5____1__IT_1,40.406629728331,-3.71069906388982,20000011,1146.47652344993
4__5____1__IT_1,40.4066090666995,-3.71067492263545,20000012,1146.53606321298
4__5____1__IT_1,40.4065827811532,-3.71064176786512,20000013,1146.5996561659
4__5____1__IT_1,40.4065515212778,-3.71059783393928,20000014,1146.66834211401
4__5____1__IT_1,40.4065278715394,-3.71056105000883,20000015,1146.74110656431
4__5____1__IT_1,40.4065055819123,-3.71052298639586,20000016,1146.81793967016
4__5____1__IT_1,40.4064798484838,-3.7104735728402,20000017,1146.89984630969
4__5____1__IT_1,40.4064699743344,-3.71045308304229,20000018,1146.98380826137
4__5____1__IT_1,40.4064473204243,-3.71040098897499,20000019,1147.07285586837
4__5____1__IT_1,40.4064308276602,-3.71035815331463,20000020,1147.16597331911
4__5____1__IT_1,40.4064237511994,-3.71033686564336,20000021,1147.2610605414
4__5____1__IT_1,40.4064006248048,-3.71025872504272,20000022,1147.36325799774
4__5____1__IT_1,40.4063820302588,-3.71019123522347,20000023,1147.47154292827
4__5____1__IT_1,40.4063617077869,-3.71011170879401,20000024,1147.58694317003
4__5____1__IT_1,40.4063429192337,-3.71003149260184,20000025,1147.70946252973
4__5____1__IT_1,40.4063281175203,-3.70996251068842,20000026,1147.83806159895
4__5____1__IT_1,40.4063122191792,-3.70988137977537,20000027,1147.9737676577
4__5____1__IT_1,40.4062979448309,-3.70979956120984,20000028,1148.11659497926
4__5____1__IT_1,40.406286937211,-3.70972873362584,20000029,1148.26555535503
4__5____1__IT_1,40.406156336332,-3.70901790432656,20000030,1148.47655121398
4__5____1__IT_1,40.4060535815104,-3.70845209055145,20000031,1148.73689582253
4__5____1__IT_1,40.4060446415335,-3.7084009685691,20000032,1149.00169048371
4__5____1__IT_1,40.4060410466658,-3.70838042365142,20000033,1149.26827358471
4__5____1__IT_1,40.4060134215437,-3.70821302275801,20000034,1149.54938883064
4__5____1__IT_1,40.4059899594347,-3.7080572161792,20000035,1149.84397923534
4__5____1__IT_1,40.4059832105837,-3.70799692371863,20000036,1150.14374036127
4__5____1__IT_1,40.4059786441907,-3.70794832136094,20000037,1150.44765671187
4__5____1__IT_1,40.4059742405528,-3.70788769993907,20000038,1150.75674031512
4__5____1__IT_1,40.4059714736493,-3.70783888074502,20000039,1151.06997788082
4__5____1__IT_1,40.4059692357682,-3.70777781179857,20000040,1151.38840345251
4__5____1__IT_1,40.4059681680708,-3.70771675275576,20000041,1151.7120115946
4__5____1__IT_1,40.4059686165199,-3.70764333644511,20000042,1152.04184973669
4__5____1__IT_1,40.4059700849413,-3.70759432591719,20000043,1152.37584990017
4__5____1__IT_1,40.4059743950983,-3.70750846021841,20000044,1152.71715195848
4__5____1__IT_1,40.405978913058,-3.7074472239561,20000045,1153.0636744141
4__5____1__IT_1,40.4059845123485,-3.70738623706479,20000046,1153.41540915136
4__5____1__IT_1,40.4059928849876,-3.70731325723785,20000047,1153.77340600074
4__5____1__IT_1,40.4059960046736,-3.70728912930617,20000048,1154.13347932405
4__5____1__IT_1,40.4060086860121,-3.7072044106507,20000049,1154.50087803678
4__5____1__IT_1,40.4060275312523,-3.70708345841202,20000050,1154.8787512537
4__5____1__IT_1,40.4060452231291,-3.70697474817134,20000051,1155.26605588345
4__5____1__IT_1,40.4060874725376,-3.70672428675283,20000052,1155.67512487696
4__5____1__IT_1,40.4061380012304,-3.70643113048192,20000053,1156.10969430844
4__5____1__IT_1,40.4061788780411,-3.70618395386085,20000054,1156.56572324074
4__5____1__IT_1,40.4062069799013,-3.70600782674477,20000055,1157.03701959956
4__5____1__IT_1,40.406220921831,-3.70593737838735,20000056,1157.51449096428
4__5____1__IT_1,40.4062310172009,-3.70587749760255,20000057,1157.99716564526
4__5____1__IT_1,40.4062394047063,-3.70581712755424,20000058,1158.48504697372
4__5____1__IT_1,40.4062473237622,-3.70574449842697,20000059,1158.97915365358
4__5____1__IT_1,40.4062513159282,-3.70569574853534,20000060,1159.47742069521
4__5____1__IT_1,40.4062547504743,-3.70563473628508,20000061,1159.98087897639
4__5____1__IT_1,40.4062560540642,-3.70559798148926,20000062,1160.48745945679
4__5____1__IT_1,40.4062569694231,-3.70553670722161,20000063,1160.99924038449
4__5____1__IT_1,40.4062557064913,-3.70546315603594,20000064,1161.51726410419
4__5____1__IT_1,40.4062521016618,-3.70538922685006,20000065,1162.04157386605
